Ano,Jogo,Desenvolvedor,Vencedor,Indicacoes,Premiacoes,Nota Metacritic,Review 1,Review 2,Review 3,Review 4,Review 5,Review 6,Review 7,Review 8,Review 9,Review 10,Review 1_negativo,Review 1_neutro,Review 1_positivo,Review 1_composto,Review 2_negativo,Review 2_neutro,Review 2_positivo,Review 2_composto,Review 3_negativo,Review 3_neutro,Review 3_positivo,Review 3_composto,Review 4_negativo,Review 4_neutro,Review 4_positivo,Review 4_composto,Review 5_negativo,Review 5_neutro,Review 5_positivo,Review 5_composto,Review 6_negativo,Review 6_neutro,Review 6_positivo,Review 6_composto,Review 7_negativo,Review 7_neutro,Review 7_positivo,Review 7_composto,Review 8_negativo,Review 8_neutro,Review 8_positivo,Review 8_composto,Review 9_negativo,Review 9_neutro,Review 9_positivo,Review 9_composto,Review 10_negativo,Review 10_neutro,Review 10_positivo,Review 10_composto,Review_Composto_Total,Hype
2014,Dragon Age: Inquisition,['BioWare'],True,2,2,85,"Phil Savage
PC Gamer
""A fantastic campaign and massive open environments, soured only slightly by minor, persistent flaws.""","Andrew Dyce
Game Rant
""With 'Dragon Age: Inquisition' BioWare delivers the very best entry in the series - and one of their best RPGs - to date.""","Vince Ingenito
IGN
""Dragon Age: Inquisition doesn't spin a great tale, but it brings the series closer to its roots with deep RPG systems.""","Richard Cobbett
Eurogamer
""The true power of the Inquisition may be illusory, but that doesn't stop it being satisfying to wield while it lasts.""","Maxwell McGee
GamesRadar+
""Dragon Age: Inquisition creates a massive, vibrant world on a scale far greater than its predecessors, and does an excellent job of making you feel in command. The heart of this game rests with its characters, who keep you invested in the action.""","Joe Juba
Game Informer
""The most fun I've had with an RPG in years. Even a simple quest can turn into a multi-hour affair thanks to how well the missions, characters, and rewards tie into each other""","Philip Kollar
Polygon
""Dragon Age: Inquisition is one of the biggest games I've ever played, and I still want more""","Kevin VanOrd
GameSpot
""With the entertaining and thematically rich Inquisition, the Dragon Age series returns to its former glory.""","Matt Rorie
Giant Bomb
""Whether you wish to take on world-destroying madmen or simply wander around collecting herbs, Dragon Age: Inquisition is guaranteed to include something you'll enjoy doing.""","Kirk Hamilton
Kotaku
""Epic in scope but carefully crafted down to the smallest character moment. A generous, joyful fantasy.""",0.0,0.769,0.231,0.5574,0.075,0.617,0.308,0.831,0.172,0.828,0.0,-0.4112,0.06,0.634,0.307,0.7672,0.044,0.721,0.234,0.8591,0.0,0.698,0.302,0.8932,0.116,0.688,0.196,0.128,0.091,0.496,0.413,0.8316,0.073,0.731,0.196,0.5719,0.0,0.51,0.49,0.9109,5.9391,13.754716981132075
2014,Bayonetta 2,['PlatinumGames'],False,2,0,91,"Ryan Blanchard
Game Rant
""In many ways, 'Bayonetta 2' comes close to being a masterclass in hack and slash style, but is invariably held back by some of the genre's usual flaws.""","Martin Robinson
Eurogamer
""The rhythm of combat remains the same, though it's hard to complain when it's riffing off such a heady beat, where chimed enemy attacks are rithely dodged into slo-mo fugilisms, where impossible combos culminate with a 20-foot boot weaved from hair crashing from the heavens, and where spinning amidst the avalanche of colour and cartoon violence is Bayonetta herself, stopping only briefly to wink at a player exhausted by the unrelenting joy of it all. Bayonetta 2's biggest disappointment may be that it's an iterative sequel, but it's not such a problem when it's iterating on genius.""","Jose Otero
IGN
""Bayonetta 2 builds on everything that made the original great, and delivers one of the best action games of the year.""","Justin Towell
GamesRadar+
""More of the same is absolutely fine, as Bayonetta delivers her trademark action in true style. This sequel takes too long to get going and can feel harshly unfair, but when it's at its peak, the action is breathtaking.""","Joe Juba
Game Informer
""Crazy moments, smooth combat, and seemingly endless options help this sequel match its predecessor""","Arthur Gies
Polygon
""Bayonetta 2's blatant over-sexualization puts a big dent in an otherwise great game""","Mark Walton
GameSpot
""Bayonetta 2 is a classic in the making, and one of the finest, most wonderfully insane action games ever made.""","Dan Ryckert
Giant Bomb
""Platinum Games' sequel delivers nuanced, non-stop action that stands among the best in its genre.""","Evan Narcisse
Kotaku
""Bayonetta 2 represents a master class in over-the-top set pieces, filled with dozens of giatn bosses and absurd situations to test your reflexes.""","Steven Strom
Ars Technica
""The Wii U unexpectedly gets one of the best games of the year. Buy it.""",0.056,0.944,0.0,-0.1406,0.158,0.773,0.068,-0.6665,0.0,0.616,0.384,0.891,0.046,0.787,0.167,0.6593,0.259,0.595,0.146,-0.2732,0.0,0.728,0.272,0.6249,0.129,0.691,0.181,0.2992,0.0,0.769,0.231,0.6369,0.0,1.0,0.0,0.0,0.0,0.756,0.244,0.6369,2.6678999999999995,20.471698113207548
2014,Dark Souls II,['FromSoftware'],False,3,0,91,"Ryan Blanchard
Game Rant
""While the difficulty may serve to push some gamers away, Dark Souls II manages to be both the most accessible title in the series and a formidable challenge for returning veterans and is without a doubt an experience that should not be missed despite the allure of next-generation consoles.""","Cory Banks
PC Gamer
""More accessible, challenging, and rewarding than its predecessor, this is the Dark Souls sequel PC gamers deserve.""","Daniel Tack
Game Informer
""An epic adventure from start to finish packed with wondrous environments, imaginative and terrifying foes, and the continual adrenaline-apprehension rush of pushing through each fog gate. These aspects make this title a must-play.""","Chris Person
Kotaku
""Yes A stellar, challenging experience that borrows from its predecessors while making significant and complicated design changes.""","Adam Beck
Hardcore Gamer
""If you decided to wait for the PC version of Dark Souls II before jumping in, you've made the right decision. It's not leaps and bounds better than its console counterpart, but the graphical enhancements and the immersion.""","Marshall Honorof
Tom's Guide
""You'll keep coming back to 'Dark Souls II,' and should you triumph, your victory is one that will stay with you.""","Adam Smith
Rock, Paper, Shotgun
""Unscored For those willing to invest time into the New Game+, into the covenants and the raiding of other players' worlds, there's far more to uncover than I'll probably ever see. As I said at the beginning, Dark Souls II is a very good game. There have been some of the reasons why as well as some of the reasons why I don't think it's quite as great a game as I'd hoped it would be.""","James Bowden
God is a Geek
""10 / 10 If you had issues with Dark Souls II on console then Dark Souls II PC will not be them. If you were hoping that this would be the gorgeous next-gen Souls experience we were shown in that first video then well, it isn't. But if you were holding out to find out just how the PC version of Dark Souls II performed then know, with full confidence, that it is far and away the superior version, and that's without the need to download any sort of fan-made patch. The cycle of death and success has never felt this good.""","Dana Abercrombie
DualShockers
""9.5 / 10 Overall Dark Souls II is one of the best games I have ever played. I have never before laughed at my own stupidity, cried out with frustration and jumped because of random brightly creatures hidden in the dark of the night.""","IGN Italy
IGN
""9.3 / 10 A truly unique experience, but it's not for everybody. You have to be aware of the words you're gonna read more than any others on your screen: 'You're Dead'.""",0.047,0.848,0.105,0.2259,0.0,0.74,0.26,0.6461,0.176,0.763,0.061,-0.6597,0.0,0.681,0.319,0.6249,0.0,0.95,0.05,0.2382,0.0,0.866,0.134,0.4767,0.0,0.847,0.153,0.9056,0.043,0.755,0.201,0.9607,0.205,0.628,0.168,-0.2453,0.0,0.937,0.063,0.2382,3.4113,20.09433962264151
2014,Hearthstone,['Blizzard Entertainment'],False,3,1,88,"Denny Connolly
Game Rant
""Hearthstone: Heroes of Warcraft' provides endless hours digital card entertainment with familiar Blizzard lore and mechanics at a price that is as cheap as you want it to be.""","Justin Davis
IGN
""Don't sleep on Hearthstone - it gets almost everything right. It's fun, flashy, and totally playable for free.""","Will Bindloss
PC Gamer
""86 / 10 If you somehow haven't tried it until now, this is a better time than any to jump in.""","Tom Bramwell
Eurogamer
""10 / 10 In fact, Hearthstone is unlike a lot of games. It's a card strategy game that is broad and accessible. It's a free-to-play game with generosity of spirit. Heck, it may not have all the features its fans are demanding just yet, but it's even a Blizzard game where ""coming soon"" actually means coming soon. It's overflowing with character and imagination, feeds off and fuels a vibrant community of players and performers, and it only stands to improve as Blizzard introduces new features, an iPad version and expansions. And now it's finally finished! I can't wait to see where it goes next. Job's done.""","David Roberts
GamesRadar+
""Hearthstone is addictive, highly strategic, and chock-full of fun collectible card battling; the fact that it's totally free (if you want it to be) makes it one of the best values in gaming today. This is your new obsession, embrace it.""","Daniel Tack
Game Informer
""9 / 10 Addictive and entertaining for free-to-play players, competitors, and collectors, the game brings the often-daunting digital card game genre into the spotlight""","Philip Kellar
Polygon
""10 / 10 Hearthstone pulled me into a new genre and refuses to let me go""","Leif Johnson
GameSpot
""8 / 10 Hearthstone is a free-to-play collectible card game that embraces new players through its presentation and simplicity and satisfies veterans with complex strategies hidden between the lines.""","Geoff Thew
Hardcore Gamer
""Unscored When Blizzard announced they were making a digital CCG, we all expected it to look and sound beautiful, and there was little doubt that it would be well balanced, but I don't think anyone anticipated this level of sophistication and subtle brilliance. Its turn-based nature and straightforward mechanics make this one of the most immediately accessible competitive games ever devised, but at the same time its depth is positively cavernous.""","Rich Stanton
Rock, Paper, Shotgun
""Unscored This type of call-and-response has always been the lifeblood of card games but Hearthstone's position as one of the first potentially mass-market CCGs with an excellent online infrastructure makes things exciting. As for the 'free-to-play' tag, this is one of the few games that will make Western players love the business model. It's as simple as that.""",0.0,0.772,0.228,0.7506,0.0,0.686,0.314,0.7823,0.116,0.756,0.129,0.0772,0.03,0.897,0.073,0.2617,0.082,0.601,0.317,0.9168,0.0,0.879,0.121,0.4404,0.0,1.0,0.0,0.0,0.0,0.899,0.101,0.4215,0.02,0.778,0.202,0.9412,0.0,0.784,0.216,0.9528,5.5445,36.0377358490566
2014,Middle-earth: Shadow of Mordor,['Monolith Productions'],False,3,1,84,"Aoife Wilson
Eurogamer
""There's plenty to see and do in Mordor when you're dead; all that's left, in the words of a wise old wandering wizard, is to decide what to do with the time that is given to you.""","Denny Connolly
Game Rant
""'Middle-earth: Shadow of Mordor' combines familiar combat tricks and trademark Tolkien scenery with a unique Nemesis system to deliver one of the best new-gen experiences of the year.""","Leif Johnson
PC Gamer
""The tech specs are demanding, but this is the Middle-Earth game to rule them all.""","Dan Stapleton
IGN
""Middle-earth: Shadow of Mordor's great action and dynamic enemies make both victory and defeat an amazing experience.""","Lucas Sullivan
GamesRadar+
""By turning your every death into the start of a personal vendetta, Middle-earth: Shadow of Mordor makes you that much more invested in its open-world. The savage combat and satisfying stealth are just the means to exacting your ultimate revenge.""","Matt Miller
Game Informer
""A challenging and fascinating adventure in emergent gameplay, but not without growing pains""","Kevin VanOrd
GameSpot
""Shadow of Mordor's political machinations and rambunctious action make it a cut above your everyday Lord of the Rings game.""","Philip Kollar
Polygon
""Middle-earth: Shadow of Mordor tells a good story but provides the tools to discover even better tales""","Brad Shoemaker
Giant Bomb
""This perfectly competent open-world game gets a heck of a lot more interesting when it throws an endless host of savage, dynamic AI enemies into the mix.""","Yannick LeJacq
Kotaku
""An inventive and thoroughly enjoyable adventure that honors the legacy of its fiction while simultaneously expanding its boundaries.""",0.104,0.821,0.075,-0.296,0.121,0.748,0.131,0.3182,0.094,0.906,0.0,-0.1154,0.216,0.418,0.366,0.6486,0.28,0.66,0.06,-0.875,0.152,0.431,0.417,0.3174,0.104,0.896,0.0,-0.2732,0.0,0.707,0.293,0.7003,0.166,0.509,0.324,0.7089,0.0,0.623,0.377,0.8431,1.9769,8.924528301886792
2015,The Witcher 3: Wild Hunt,['CD Projekt Red'],True,6,2,92,"Shaun Prescott
PC Gamer
""A big, beautiful, sprawling action RPG full of rich stories, and suffused with an oppressive darkness.""","Adrian Morales
Game Rant
""The Witcher 3: Wild Hunt on next-gen consoles is the best way to discover or re-discover one of the most celebrated RPGs of the last decade.""","Vince Ingenito
IGN
""Massive in size, and meticulously detailed, The Witcher 3 ends Geralt's story on a high note.""","Christopher Gates
Game Rant
""The Witcher 3: Wild Hunt' is far from perfect, but despite its flaws, Geralt's final adventure is 2015's strongest candidate for Game of the Year so far.""","Oli Welsh
Eurogamer
""Essential It will last you months, yet not waste your time. Above all, it has a vivid, enduring personality, something that is exceedingly rare among its breed of mega-budget open-world epics (and that will probably be rarer still once Hideo Kojima and Konami part ways later this year). For my money, it's the greatest role-playing game in years.""","Castielle
Fextralife
""9 / 10 It incorporates so many different elements from so many games that it stands alone as it its own unique sub-genre. CDPR really created a masterpiece with this game, and while the combat can be a bit lacking at times, and the controls are just frankly frustrating, there aren't enough of a blemish in the slightest to keep me from recommending this game to anyone.""","Tom Senior
GamesRadar+
""Sloppy combat and optimisation can't quite spoil this dark fantasy adventure, set in a stunning world of blood and black magic.""","Kimberley Wallace
Game Informer
""With superb storytelling, challenging combat, exciting choices, and unpredictable consequences, The Witcher 3: Wild Hunt is a must-play RPG.""","Kevin VanOrd
GameSpot
""10 / 10 The Witcher 3: Wild Hunt is still one of the best games ever made.""","Cameron Kunzelman
Polygon
""Unscored The next-gen upgrade is going to make that available for more people, and I'm excited for that. But it did leave me with a melancholy feeling about where we've been and, given the future of The Witcher franchise, where at least Cyberpunk's Witcher game might go. If some CD Projekt Red 2015 RPG, rather than the one it released in 2020, is the foundation that's built upon.""",0.203,0.474,0.323,0.5859,0.0,0.746,0.254,0.8479,0.0,1.0,0.0,0.0,0.0,0.724,0.276,0.8462,0.0,0.894,0.106,0.7602,0.103,0.803,0.094,0.0954,0.093,0.618,0.29,0.6249,0.095,0.553,0.352,0.7579,0.0,0.781,0.219,0.6369,0.072,0.88,0.048,-0.4019,4.753399999999999,16.150943396226417
2015,Bloodborne,['FromSoftware'],False,3,0,92,"Brandin Tyrrel IGN - ""Bloodborne delivers an exhausting and exhilarating journey into the depths of madness.""","Rich Stanton Eurogamer - Essential ""The structure underlying Bloodborne is not just original but coherent, and because of this the impact of everything it does is commensurately greater. This is total design. It feels wonderful to have a world like this grow over a week of solid play; later, feel that there's so much more to discover. And in a world so new that, in all likelihood, it will be a painfully long time until I play anything else that matches up to Bloodborne's breadth of vision, generosity of content, and - yes - genius.""","Castielle Fextralife - ""A fantastic game that holds its own against Dark Souls. A brand new setting and new gameplay mechanics add a freshness to the Souls formula. There's a lot to explore and experience including savage death. Right now, it's the best RPG of the current gen.""","Ben Griffin GamesRadar+ - ""An invigorated spirit occupying a reassuringly recognisable body, Dark Souls' life force flows through Bloodborne's revitalised veins. Intelligent and intense, it's simply PS4's best exclusive game.""","Daniel Tack Game Informer - ""An unsettling, Lovecraftian adventure through nightmares that constantly tests and enthralls the player. Just when you think you have things figured out, new elements come into play.""","Michael McWhertor Polygon - ""Bloodborne is a shrewd turn from its souls lineage.""","Kevin VanOrd GameSpot - ""Bloodborne's excellent action, beautiful artistry, and religious melodrama make it another must-play in the Demon's Souls tradition.""","Patrick Klepek Kotaku - Yes ""The most rewarding game experience I've had this year.""","Bob Mackey VG247 - ""Refreshingly, Bloodborne knows what it is, and doesn't stray too far from the Souls formula—but its few alterations make for a fresh experience that will challenge even the most hardened Souls veterans. If you're looking to purchase of a PS4, I can't think of a better reason.""","Steve Hanley Hardcore Gamer - ""Make no mistake: Bloodborne will put hair on your chest.""",0.316,0.526,0.158,-0.4019,0.056,0.665,0.279,0.9752,0.133,0.716,0.151,0.2263,0.0,0.525,0.475,0.9231,0.0,0.842,0.158,0.5719,0.0,1.0,0.0,0.0,0.0,0.664,0.336,0.8225,0.0,0.684,0.316,0.5709,0.052,0.869,0.078,0.05,0.365,0.635,0.0,-0.5574,3.1806,16.735849056603772
2015,Fallout 4,['Bethesda Game Studios'],False,3,0,87,"Dan Stapleton IGN - ""The world, exploration, crafting, atmosphere, and story of Fallout 4 are all key parts of this hugely successful sandbox role-playing game. Great new reasons to re-experience, gather and hoard years of happier times, strong companions, and sympathetic villains driving tough decisions make it an adventure I'll definitely replay, and revisit. Even its technical shakiness that crops up here and there can't even begin to slow down its momentum.""","Dan Whitehead Eurogamer - Recommended ""A vast and frequently brilliant return to Bethesda's atomic sandbox, but constant technical issues are a frustration.""","Phil Savage PC Gamer - ""A brilliant, massive sandbox of systems, albeit largely the same one Bethesda has been making for years.""","Denny Connolly Game Rant - ""The graphics may not be cutting-edge enough for some gamers, but Fallout 4 offers a revamped leveling system, an amazing story, and endless content in post-apocalyptic Boston.""","Castielle Fextralife - ""This is not the Fallout that I remember, but it is more of the type of game I would play compared to Fallout 3. The much improved gunplay minimizes the lack of RPG elements and mismanaged issues within the game. The game has very mixed reviews from player to player, so I'll just say this: if you think of the game as an just an RPG shooter, you will love this game. If you think of it as a sequel to Fallout 3, you will be disappointed.""","Leon Hurley GamesRadar+ - ""A huge game that's anything you want it to be. An immense RPG, shooter, and world to explore that is only constrained by your imagination and desire to explore.""","Andrew Reiner Game Informer - ""Bethesda has created another game you can lose your life in. New experiences just keep coming, and you always have another perk to unlock.""","Peter Brown GameSpot - ""[WARNING: Mild Spoilers] In the grand scheme of things, Fallout 4's minor issues pale in comparison to its successes. When you put the controller down, you think about the friend you betrayed to benefit another, the shifting tide of an incredible battle, or the moment you opened a drawer and found someone's discarded effects, making you wonder how they felt before the bombs fell. In moments like these, Fallout 4 can be an intoxicating experience.""","Arthur Gies Polygon - ""Fallout 4 brings great gameplay to match its world and ambiance.""","Jeff Gerstmann Giant Bomb - ""Fallout 4 may feel overly familiar to some, but there are plenty of places to go, people to see and mutants to shoot, and most of those things are still exciting to visit, look at, and murder (though not necessarily in that order). The occasionally extreme performance issues found in the console versions of Fallout 4 make those versions more difficult to recommend than their PC counterpart.""",0.086,0.631,0.283,0.9552,0.212,0.665,0.123,-0.4118,0.0,0.798,0.202,0.5859,0.0,0.822,0.178,0.7351,0.072,0.797,0.132,0.7876,0.044,0.757,0.199,0.5994,0.101,0.824,0.075,-0.1779,0.101,0.728,0.171,0.743,0.0,0.687,0.313,0.6249,0.164,0.738,0.098,-0.7502,3.6912,12.037735849056604
2015,Metal Gear Solid V: The Phantom Pain,['Kojima Productions'],False,4,2,93,"Vince Ingenito IGN - ""Metal Gear Solid 5: The Phantom Pain is a gameplay marvel, rewarding intelligence and creativity in a way few games do.""","Rich Stanton Eurogamer - Essential ""Hideo Kojima's farewell to Metal Gear Solid is a dream: the best ever stealth game, and the high point of a remarkable series.""","Dalton Cooper Game Rant - ""Metal Gear Solid 5: The Phantom Pain successfully translates the iconic stealth-action gameplay that has defined the series into a massive open-world adventure.""","Dan Dawkins GamesRadar+ - ""A new standard for open-world interaction, and an incredible sign-off to a spectacular, often infuriating, series. This is one of the most ingenious, lovingly crafted games of all time.""","Joe Juba Game Informer - ""Many missions feel like puzzles, forcing you to use your available resources to find one of many ways to complete your objective. Applying your rewards to building, expanding, and improving your base is an irresistible joy""","Peter Brown GameSpot - ""Kojima's open-world opus succeeds in delivering incredible gameplay and captivating storytelling.""","Michael McWhertor Polygon - ""The Phantom Pain is a bittersweet but impressive send-off for the series' creator""","Brad Shoemaker Giant Bomb - ""Metal Gear Solid V practically redefines the notion of what open-world gameplay can be.""","Jason Schreier Kotaku - Yes ""Metal Gear Solid V is the best Metal Gear yet, and has immediately become one of my favorite video games of the last few years. It's an impeccable stealth-action game, clearly inspired in all the right ways by modern series like Far Cry, and it's got a level of moment-to-moment joyfulness that kept me satisfied even when I was slogging through parser versions of levels I'd already beaten just to see the ""true"" ending.""","Kat Bailey VG247 - ""The story loses a lot of momentum in the back half, and F.O.B.s aren't much more than a fun novelty, but otherwise it's a stunningly enjoyable game that almost perfectly integrates a sizable open world environment with solid stealth fundamentals and a huge arsenal. Even at its most frustrating, it's an incredible swansong. We'll be talking about this one for a long time to come.""",0.111,0.436,0.453,0.8481,0.045,0.557,0.397,0.8779,0.116,0.634,0.25,0.4215,0.103,0.76,0.136,0.2682,0.0,0.68,0.32,0.9274,0.0,0.758,0.242,0.4939,0.197,0.537,0.266,0.4854,0.0,0.882,0.118,0.1531,0.067,0.666,0.267,0.9501,0.099,0.682,0.219,0.8738,6.2994,13.09433962264151
2015,Super Mario Maker,['Nintendo'],False,2,1,88,"Jose Otero IGN - ""The perpetual joke at the end of every 10 Mario Challenge run informing you that the Princess is in yet another castle hints at Super Mario Maker's bigger problem: there will always be more levels to play thanks to the online creation community and a virtually endless pool of challenges to overcome.""","Riley Little Game Rant - ""Nintendo allows the player to become the creator in Super Mario Maker, providing gamers with the one of the easiest and enjoyable means of creation ever seen in gaming.""","Christian Donlan Eurogamer - Recommended ""An elegant level editor that offers real insight into three decades of platforming brilliance.""","David Roberts GamesRadar+ - ""Brimming with positivity and encouragement, Super Mario Maker's brilliant toy box gives you everything you need to easily create and share some truly fantastic levels.""","Kyle Hilliard Game Informer - ""A literary endless supply of Mario levels is at your fingertips, as long as you don't mind if they don't live up to Nintendo's standard of quality. Getting creative with the tools is fun, and so is seeing what others have devised.""","Justin Haywald GameSpot - ""For and for the first time in a creation-focused experience, I look forward to returning again and again for more than just the amazing levels I know other people will create. I want to keep making my own levels forever. The game won't necessarily turn you into the next Shigeru Miyamoto, but you can almost feel a little bit of that magic rubbing off every time you upload a new creation.""","Griffin McElroy Polygon - ""Where other publishers might release a making-of documentary of their golden era, Super Mario Maker does the unthinkable: it lets you do the making of. I have had a tremendous amount of fun playing Super Mario Maker, but the way it developed that newfound appreciation for something I've known my whole life was the game's greatest accomplishment. Sure, there's tons of fan service here and there, like a startling number of references to Mario Paint, but that's not how it won me over. Super Mario Maker wowed me because it's a hands-on history lesson.""","Jeff Gerstmann Giant Bomb - ""Super Mario Maker lets you create as many Kuriboh's Shoe-focused levels as your heart can take and then some. The pipes work, and you can make giant goombas and stack them up as high as the screen. You can press play and get served up an endless array of user-created levels in varying degrees of quality. Any of those sounds even slightly appealing, you'll probably love this thing to death.""","Patricia Hernandez Kotaku - Yes ""Finally, I can make the hellscape Mario levels of my dreams.""","Matt Whittaker Hardcore Gamer - ""Super Mario Maker is a special game, period. You would include all of the lengthy, metaphor-laden nonsense that your title brain can come up with as to what is and isn't perfect about it, but at the end of the day, this is a title that allows you to create and play Super Mario Bros.""",0.044,0.693,0.264,0.8925,0.0,0.681,0.319,0.8934,0.0,0.632,0.368,0.7906,0.0,0.372,0.628,0.9776,0.0,0.863,0.137,0.7351,0.0,0.887,0.113,0.6956,0.033,0.625,0.342,0.9882,0.048,0.798,0.155,0.8271,0.0,0.769,0.231,0.4019,0.059,0.705,0.236,0.9109,8.1129,16.90566037735849
