Jogo,Ano,Vencedor Real,Probabilidade de Vencer (%)
Baldur's Gate 3,2023,True,50.66
Super Mario Odyssey,2017,False,49.35
God of War Ragnarök,2022,False,44.53
The Legend of Zelda: Breath of the Wild,2017,True,44.07
Elden Ring,2022,True,42.04
Uncharted 4: A Thief's End,2016,False,40.19
God of War,2018,True,39.06
The Legend of Zelda: Tears of the Kingdom,2023,False,38.65
The Last of Us Part II,2020,True,37.97
Astro Bot,2024,True,37.45
Hades,2020,False,37.20
Metaphor: ReFantazio,2024,False,35.64
Red Dead Redemption 2,2018,False,33.58
Final Fantasy VII Rebirth,2024,False,26.96
Super Mario Bros. Wonder,2023,False,26.82
Elden Ring: Shadow of the Erdtree,2024,False,25.70
Super Smash Bros. Ultimate,2019,False,25.13
Metal Gear Solid V: The Phantom Pain,2015,False,24.45
The Witcher 3: Wild Hunt,2015,True,24.30
Inside,2016,False,24.06
Overwatch,2016,True,21.57
Celeste,2018,False,20.63
Persona 5,2017,False,20.09
Horizon Zero Dawn,2017,False,19.86
Marvel's Spider-Man 2,2023,False,19.74
Deathloop,2021,False,18.47
It Takes Two,2021,True,18.33
Alan Wake 2,2023,False,17.82
Horizon Forbidden West,2022,False,17.15
Marvel's Spider-Man,2018,False,17.06
Balatro,2024,False,16.90
Ratchet & Clank: Rift Apart,2021,False,16.38
Resident Evil 4,2023,False,16.32
Bloodborne,2015,False,15.17
Final Fantasy VII Remake,2020,False,14.94
Titanfall 2,2016,False,14.74
Monster Hunter: World,2018,False,14.48
Animal Crossing: New Horizons,2020,False,14.04
Dark Souls II,2014,False,13.74
Xenoblade Chronicles 3,2022,False,13.36
Psychonauts 2,2021,False,12.60
Super Mario Maker,2015,False,12.58
Sekiro: Shadows Die Twice,2019,True,12.36
Hearthstone,2014,False,11.55
Bayonetta 2,2014,False,11.37
Resident Evil 2,2019,False,10.63
Metroid Dread,2021,False,10.45
Stray,2022,False,10.04
Doom Eternal,2020,False,8.69
Death Stranding,2019,False,8.46
Fallout 4,2015,False,8.44
The Outer Worlds,2019,False,8.36
Control,2019,False,8.25
Ghost of Tsushima,2020,False,7.57
Dragon Age: Inquisition,2014,True,7.02
PlayerUnknown's Battlegrounds,2017,False,6.57
Black Myth: Wukong,2024,False,6.16
Assassin's Creed Odyssey,2018,False,5.75
A Plague Tale: Requiem,2022,False,4.94
Middle-earth: Shadow of Mordor,2014,False,4.82
Resident Evil Village,2021,False,3.59
Doom,2016,False,3.32
