date,The Last of Us,Grand Theft Auto V,isPartial
2012-12-30,3,5,False
2013-01-06,3,4,False
2013-01-13,3,4,False
2013-01-20,4,4,False
2013-01-27,4,5,False
2013-02-03,6,4,False
2013-02-10,4,3,False
2013-02-17,4,3,False
2013-02-24,4,2,False
2013-03-03,4,2,False
2013-03-10,4,2,False
2013-03-17,4,2,False
2013-03-24,5,3,False
2013-03-31,5,3,False
2013-04-07,4,2,False
2013-04-14,4,3,False
2013-04-21,4,3,False
2013-04-28,5,6,False
2013-05-05,5,4,False
2013-05-12,8,3,False
2013-05-19,9,4,False
2013-05-26,15,3,False
2013-06-02,31,3,False
2013-06-09,55,3,False
2013-06-16,80,3,False
2013-06-23,63,3,False
2013-06-30,52,4,False
2013-07-07,38,18,False
2013-07-14,29,7,False
2013-07-21,23,5,False
2013-07-28,22,5,False
2013-08-04,21,6,False
2013-08-11,20,9,False
2013-08-18,17,9,False
2013-08-25,16,12,False
2013-09-01,15,11,False
2013-09-08,14,25,False
2013-09-15,14,100,False
2013-09-22,13,56,False
2013-09-29,12,40,False
2013-10-06,12,25,False
2013-10-13,12,24,False
2013-10-20,10,16,False
2013-10-27,9,14,False
2013-11-03,9,12,False
2013-11-10,10,11,False
2013-11-17,10,11,False
2013-11-24,13,11,False
2013-12-01,13,10,False
