Ano,Jogo,Gênero,Estúdio
1998,GoldenEye 007,First-person shooter,Rare
1999,The Legend of Zelda: Ocarina of Time,Action-adventure,Nintendo EAD
2000, MediEvil 2,Action-adventure,SCE Studio Cambridge
2001, Gran Turismo 3: A-Spec,Racing,Polyphony Digital
2002, Halo: Combat Evolved,First-person shooter,Bungie
2003,Call of Duty,First-person shooter,Infinity Ward
2004,Half-Life 2,First-person shooter,Valve
2006,Tom Clancy's Ghost Recon Advanced Warfighter,Tactical shooter,Ubisoft Paris
2007,BioShock,First-person shooter,Irrational Games
2008,Super Mario Galaxy,Platformer,Nintendo EAD
2009,Batman: Arkham Asylum,Action-adventure,Rocksteady Studios
2010,Mass Effect 2,Action role-playing,BioWare
2011,Portal 2,Puzzle-platformer,Valve
2012,Dishonored,Action-adventure,Arkane Studios
2013,The Last of Us,Action-adventure,Naughty Dog
2014,Destiny,Action role-playing,Bungie
2015,Fallout 4,Action role-playing,Bethesda Game Studios
2016,Uncharted 4: A Thief's End,Action-adventure,Naughty Dog
2017,What Remains of Edith Finch,Adventure,Giant Sparrow
2018,God of War,Action-adventure,Santa Monica Studio
2019,Outer Wilds,Action-adventure,Mobius Digital
2020,Hades,Action role-playing,Supergiant Games
2021,Returnal,Third-person shooter,Housemarque
2022,Vampire Survivors,Roguelike,Poncle
2023,Baldur's Gate 3,Role-playing,Larian Studios
2024,Astro Bot,Platformer,Team Asobi
2010,Mafia II,Action-adventure game,2K Czech
2011,Family Farm,Strategy video game,Hammerware
2012,Dead Trigger,First-person shooter,Madfinger Games
2013,ArmA III,Tactical shooter,Bohemia Interactive
2014,Medieval Engineers,Sandbox,Keen Software House
2015,Factorio,Real-time strategy,Wube Software
2016,Samorost 3,Adventure,Amanita Design
2017,Attentat 1942,Adventure,Charles University
2018,Beat Saber,Rhythm,Beat Games
2019,Pilgrims,Graphic adventure,Amanita Design
2020,Creaks,Graphic adventure,Amanita Design
2021,Svoboda 1945: Liberation,Graphic adventure,Charles Games
1997/1998,GoldenEye 007,First-person shooter,Rare
1998/1999,The Legend of Zelda: Ocarina of Time,Action-adventure,Nintendo EAD
